Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.06258492742791644; Solution So Far: Solution: [-0.1032760029106583, 0.5912740228226719, 0.035041466579527114, 0.07504552838876355, -0.7732756085736174, -0.29934762170498624, 0.7495175250202052, 0.11615672473456483];

Generation: 1; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.0826606746186182; Solution So Far: Solution: [0.10745644951362304, 0.6397094882242017, -0.14051175377990827, 0.7853043508418281, -0.016138983309122723, 0.36852450043256146, 0.7784813761912802, 0.7846126350714375];

Generation: 2; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.42509930790321854; Solution So Far: Solution: [-0.5507775663431653, 0.2684084313255366, 0.09795632933204063, 0.24733511956446153, 0.564317947780733, -0.7620534403705802, 0.1085619056151284, 0.08260498017793072];

Generation: 3; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.49012164280396464; Solution So Far: Solution: [-0.3684731872928211, 0.40470791711355925, 0.6600260105148276, 0.5427550209845377, -0.05607477798049115, -0.6430756990041038, -0.7383890643597869, -0.18348275112370493];

Generation: 4; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.15067999272635846; Solution So Far: Solution: [0.5046669044899698, 0.6015424838203852, 0.5350014145640128, -0.10627954156800845, 0.5557000924747552, -0.7494006119186241, -0.7561917644796398, 0.042131880441252934];

Generation: 5; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.481037715031811; Solution So Far: Solution: [-0.4746900278789594, 0.2015233881501457, 0.23458657198696015, -0.21657362427725668, 0.10195431428484306, -0.3128527315535983, 0.027776249155552546, 0.6832334111646606];

Generation: 6; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -1.864765341298137; Solution So Far: Solution: [0.6798989064256024, 0.2418830820127173, -0.07508975508977467, 0.6235323348164875, -0.2634498012069193, 0.5158692432309013, 0.6010836536728785, 0.4374624172279128];

Generation: 7; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -1.0183850278784032; Solution So Far: Solution: [-0.7706733040001112, -0.1642664195162633, 0.11010285316083651, 0.4952893278816216, 0.7678414927276553, -0.7820494373853848, -0.48436777194461517, 0.7441485806280718];

Generation: 8; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.3533336512784069; Solution So Far: Solution: [-0.03972457875040547, 0.02687063801080619, -0.3391774615654448, 0.47995274606781435, 0.20341711306462104, -0.5769328844216148, -0.33983628222258777, 0.7279627199489852];

Generation: 9; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.0882768028981156; Solution So Far: Solution: [-0.44423089868763554, 0.3682712835038371, 0.011938559427156381, 0.5630360980631538, 0.21281868701116047, -0.21879930455608448, -0.6855587586749345, 0.6293012227186777];

Generation: 10; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.03826214547146212; Solution So Far: Solution: [-0.36937826710054233, -0.4689610391121103, -0.08969446879397691, 0.7175282546058083, 0.7370474368489214, -0.7656096637675345, -0.23322610646322017, 0.7817688548428559];

Generation: 11; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.2005145594791659; Solution So Far: Solution: [-0.12298489686475778, 0.25048886467933645, 0.27468353308697496, 0.27807421720559344, 0.6328881900326, -0.5178816128088524, -0.6954734982824675, 0.37455109439419043];

Generation: 12; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -1.403994263649674; Solution So Far: Solution: [-0.7173938100341688, -0.5274769063034697, -0.18439555288491413, -0.5013090495601675, 0.43970254653535074, -0.78047362464523, -0.24686822710696044, 0.7507695869527725];

Generation: 13; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.2122950642933648; Solution So Far: Solution: [-0.12418140817863321, 0.13150669385255043, 0.23193108626027198, 0.4851058640029581, 0.3879962448340754, -0.4704329594805251, -0.5489327068750814, 0.28063776400896223];

Generation: 14; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.6374717704071877; Solution So Far: Solution: [-0.7789612919613755, 0.24301299838665735, 0.42705847653367646, 0.1639778395828031, -0.4572588727786004, 0.1249412967416691, -0.3674981091914995, 0.7522054652184618];

Generation: 15; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.1153728706487544; Solution So Far: Solution: [-0.2501983474240803, 0.4781743526615184, 0.21104735862180143, 0.3350383917738997, 0.2064659417069173, 0.09613093967192568, 0.006928715991343148, -0.21197062228937535];

Generation: 16; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.3003553229610413; Solution So Far: Solution: [-0.06644460831586096, 0.7716123130090696, -0.24773722027382972, -0.1941323986482515, 0.20802439603768236, 0.08891361365841992, -0.15439615524021164, -0.28227444527132306];

Generation: 17; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.5682057070340858; Solution So Far: Solution: [-0.40547963093775863, 0.7841099119344761, 0.3233921834741702, 0.12467421473446638, -0.6330084665323548, -0.7839329263495775, -0.6540064746625136, 0.6872434658822152];

Generation: 18; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.2690958941484147; Solution So Far: Solution: [-0.04030789131174428, 0.4559890342416715, -0.35465919218896985, -0.2784569882148529, 0.2135120060046795, -0.24569812850128003, -0.20433860290696115, -0.15789913465098393];

Generation: 19; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.10340719542229876; Solution So Far: Solution: [0.2021908191048416, 0.644251247608019, 0.018046034960730876, -0.08134410386807556, -0.014076947852318195, -0.2767429008019442, -0.3145968484851374, 0.09791904838650933];

