Generation: 0; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.29272149518586366; Solution So Far: Solution: [-0.5467287873335619, -0.20511546392463054, 0.2357179543889148, 0.11899105488026507, 0.14564850948892652, -0.45983267912716536, 0.7783483297034202, 0.2123682290214881];

Generation: 1; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.23237459209927516; Solution So Far: Solution: [-0.26248130978965195, -0.6718904503523403, 0.4443678157772594, 0.76171594893764, -0.2831890245093784, 0.3839656712718529, 0.16433277350058662, 0.7825969551517081];

Generation: 2; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.3912204857822468; Solution So Far: Solution: [0.1736402719778139, -0.6300867085734463, -0.23289845128411418, 0.7842512091754172, -0.6465967704599556, -0.561689644708723, 0.37386449600922944, 0.7257255377880476];

Generation: 3; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.1283920757045915; Solution So Far: Solution: [0.23233158722846514, -0.7851929091795126, -0.3107911679756178, 0.5656175944829138, -0.7725870522294455, -0.7209064025298815, 0.6312608244305998, -0.05873278101523127];

Generation: 4; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.13502672285855877; Solution So Far: Solution: [-0.14910954819924618, 0.3823703095589267, -0.2473619288642615, 0.4549804934287031, -0.14301934114007098, -0.058325191793284825, 0.7813588946221941, -0.4191256420919619];

Generation: 5; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.41033159970660704; Solution So Far: Solution: [0.42966985601014096, 0.34089981992416524, -0.620376070091802, 0.7672917880966292, -0.7783267739622424, 0.7853633211496707, -0.16499372816952884, 0.6982909115301236];

Generation: 6; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -1.3082256075774341; Solution So Far: Solution: [0.4023803552460289, 0.23096132916267054, -0.5790539955417305, 0.2960612740677253, -0.6211215254317801, 0.027548546088031815, 0.6852150391402168, -0.3456729896182325];

Generation: 7; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.44061972671018235; Solution So Far: Solution: [0.5769469699076533, -0.237589002160564, -0.5280727455075938, 0.06946824905410776, -0.4096334223843827, 0.31610158944963707, 0.33125865053279047, 0.23526453955732474];

Generation: 8; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.1376661156934474; Solution So Far: Solution: [0.05023917136900352, 0.18956656373890635, -0.6188790382557332, 0.7675340615528062, -0.4884007287800399, 0.0504439825072609, 0.6294346800287732, 0.005005395924404077];

Generation: 9; Duration: 7; MaxIterations: 30; Population: 12; Fitness: 0.35132873880045623; Solution So Far: Solution: [0.6429357038013119, 0.7777753119091229, -0.7853176592928102, 0.7708631985663064, 0.20318260007482997, -0.5354209002237935, 0.5205303335292158, 0.5733123931166049];

Generation: 10; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.2822695143018773; Solution So Far: Solution: [0.0501937790410098, 0.3635611590448602, -0.2180924585893333, 0.785228254444935, -0.3811097958804035, 0.19361850513633747, 0.6974677535474346, 0.7729113960697926];

Generation: 11; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.037444587665857454; Solution So Far: Solution: [0.0845701000467457, 0.6798466750855229, -0.3452511056407619, 0.7853587521117639, -0.25928798462420943, -0.3458326117520576, 0.43843590263235666, 0.1151331493654289];

Generation: 12; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.18605083626386928; Solution So Far: Solution: [-0.14891432693164558, 0.7833853225209143, -0.13168031924348125, 0.28076045569414165, -0.28846213824913364, -0.22308882180180503, 0.4025777154187644, 0.4029827916206081];

Generation: 13; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.3523652686826125; Solution So Far: Solution: [-0.07072953488505694, 0.7495985978034188, -0.29107146950404617, 0.26758435380190215, -0.5740490923876633, -0.6219806611924752, 0.3907480870078931, 0.19151915523022583];

Generation: 14; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.8381346443060154; Solution So Far: Solution: [0.3835803631992184, 0.25681301003622603, -0.5177377954897557, 0.1831300214164891, -0.16144397171194702, 0.16042816022991446, 0.7842570449268104, -0.5404484292140534];

Generation: 15; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.555806483798267; Solution So Far: Solution: [0.5627557773003562, 0.46307080966467107, -0.4910539247787003, 0.2584660667075685, 0.0466318747690094, -0.2742404776159341, 0.742477371952029, 0.07677859385595594];

Generation: 16; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.1340985759743584; Solution So Far: Solution: [0.31341022448791855, 0.39068620348263905, -0.3569007713438909, 0.6519395050635909, -0.6401389103434674, -0.30323073726837774, 0.26413384311984434, 0.30676854573508705];

Generation: 17; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.1859403343126976; Solution So Far: Solution: [0.28331975857248337, 0.5614032025731849, -0.2807470234012306, 0.782702706345461, -0.3762689578790086, 0.289616370792144, 0.08564040283381225, 0.3690840055375675];

Generation: 18; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.1993371022238247; Solution So Far: Solution: [0.2105078490219323, 0.6911267742476591, -0.20329704696782233, 0.12257267088316409, -0.7844010618456579, 0.24310969655283757, 0.39291023375057926, 0.3106005110963173];

Generation: 19; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.35663008892376535; Solution So Far: Solution: [0.05748020223611774, 0.5675252007749236, 0.05734182049187789, 0.4993113785241283, -0.7673305737339735, -0.2695089557251724, 0.287610740473099, 0.37960424080860855];

Generation: 20; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.21384792458016308; Solution So Far: Solution: [-0.052221859715011656, 0.750017945137594, -0.034926421828258794, 0.22647292231222796, -0.4210096679321924, 0.2934783960965145, 0.3482673034171804, 0.24619582925002825];

Generation: 21; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.7391108978248967; Solution So Far: Solution: [-0.13556027322107794, -0.17849376346882817, 0.42015565915485953, 0.18392246087843608, -0.33315711579019713, -0.26275754481844554, 0.19411928895838823, 0.25600594085805334];

Generation: 22; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.26103020276653816; Solution So Far: Solution: [0.004980835805434389, 0.5903808536412727, -0.08396459920412583, 0.18676157763154466, -0.6572119127002798, -0.2742603299914715, 0.40624493094318154, 0.08313859209263036];

Generation: 23; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.499897666975205; Solution So Far: Solution: [0.36729629053177426, 0.6995821598451339, -0.1516655074320502, 0.28300536562691353, -0.5182315264100095, -0.29632022750290976, 0.32080749832289013, 0.34548030371291744];

Generation: 24; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.7296564755512518; Solution So Far: Solution: [0.3145783664811633, -0.01811902818384098, -0.19621314680405322, 0.4569962511019771, -0.23784962378581231, -0.2819089786931516, -0.26301707615719677, 0.781939374848547];

Generation: 25; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.4311320779798083; Solution So Far: Solution: [0.07642403561385559, -0.3986697126098601, 0.011223160109127259, 0.16433886409383996, 0.7041599693864865, -0.004520726627100957, -0.7628626692347573, 0.716520522463404];

Generation: 26; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.05677610818203216; Solution So Far: Solution: [0.10222907133677024, -0.30245934901435756, 0.0959037126392637, -0.2102806689346639, 0.5438003950358379, 0.09820601728374961, -0.2771080188561792, 0.7420651548609946];

Generation: 27; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.19882220034569947; Solution So Far: Solution: [-0.09184657301380245, 0.7761424361021383, -0.35312476519492914, 0.2765910606225843, -0.6312543334884577, -0.5117417355777074, -0.4107313431096427, 0.7725419728183721];

Generation: 28; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.5105474681379276; Solution So Far: Solution: [-0.1790795470318714, -0.2987663067983124, 0.2027144943941739, 0.37763085302842114, 0.29267814142448767, -0.41996093413826996, 0.061441367726322915, 0.2550987908435216];

Generation: 29; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.31833736904953164; Solution So Far: Solution: [0.11622281982818976, 0.13907908497207092, -0.19172205606837853, 0.5479492037348818, -0.6107565656736931, -0.31704677051885954, 0.7355684998029492, 0.7184175535140483];

