Generation: 0; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.16760155793238293; Solution So Far: Solution: [0.2868783782462845, 0.3837022869282095, -0.25139553374146795, -0.3247347010956743, -0.6585662114562725, -0.2967313976473691, 0.5751514722665867, 0.7827561614597792];

Generation: 1; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.2402397663575594; Solution So Far: Solution: [-0.008919923727570611, 0.6819670741880863, -0.6003333963478523, 0.6260906807679909, -0.47023357801732757, 0.44090865268562196, 0.44283246905182316, 0.07146667207658053];

Generation: 2; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.1708725762550049; Solution So Far: Solution: [0.3452421306198747, 0.7760641724135053, 0.2686697970836436, 0.7332511236469537, -0.5582020950255044, -0.3091939062397646, -0.15677552398976147, 0.24617985004003407];

Generation: 3; Duration: 7; MaxIterations: 30; Population: 12; Fitness: 0.11266866887881616; Solution So Far: Solution: [0.09189563996413569, 0.252137055719663, -0.25370275194841524, 0.5508339961070097, -0.6934032002167463, 0.4337709811875272, -0.4993511248140228, 0.08197753691434903];

Generation: 4; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.27086712366765586; Solution So Far: Solution: [-0.2698803242438345, 0.21563483914407627, -0.4412941997677877, 0.6422629555043396, -0.3398312010860976, 0.22404375778905594, 0.38152451472482146, -0.6314632169740406];

Generation: 5; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.24485659493828116; Solution So Far: Solution: [-0.30468258180332203, 0.7448555760116414, 0.018893940620400507, 0.7753218659724056, -0.1532790828272992, -0.5708359390319235, 0.7683393228093982, 0.2588341438250165];

Generation: 6; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.9646562986352655; Solution So Far: Solution: [0.1715384312876869, 0.4427778315534431, -0.331673951829634, 0.7704552172173831, 0.05116035771779981, 0.21040464414805016, 0.7248390930492306, -0.20136814673080453];

Generation: 7; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -1.7612307553312598; Solution So Far: Solution: [0.6936120548210952, 0.11609129813817717, 0.25942255734530706, 0.35039915050943415, -0.2400960896965653, 0.4994236854434771, 0.45635007119542736, -0.49724491124174874];

Generation: 8; Duration: 7; MaxIterations: 30; Population: 12; Fitness: -0.42313357110434685; Solution So Far: Solution: [0.30464323315077113, 0.5067087426567201, -0.30981531663481465, 0.4694954876325789, -0.17377805493858056, 0.04703195573496337, 0.09270963031773916, -0.46366923746498784];

